15
Salade de chevre chaud              05.75
Tatare de saumon et d'avocat        07.55
Veloute de marrons                  06.50
Oeufs cocotte aux lardons           06.25
Galettes de crabe                   09.65
Brochettes de poulet au barbecue    14.60
Risotto aux champignons             13.50
Tagliatelles aux cepes              13.75
Fajitas                             11.65
Gratin Dauphinois                   12.50
Tarte aux pommes                    07.55
Souffle au chocolat                 07.00
Creme caramel                       06.50
Gaufres                             06.00
Macarons au chocolat                08.50
