02
09 02 1 12h30
Salade de chevre chaud               5.75
Brochettes de poulet au barbecue    14.60
Souffle au chocolat                  7.00
Coca-Cola 33cl                       2.00
Tatare de saumon et d'avocat         7.55
Risotto aux champignons             13.50
Creme caramel                        6.50
Bouteille eau petillante 50cl        1.50
08 02 1 12h45
Salade de chevre chaud               5.75
Brochettes de poulet au barbecue    14.60
Souffle au chocolat                  7.00
Coca-Cola 33cl                       2.00
Tatare de saumon et d'avocat         7.55
Risotto aux champignons             13.50
Creme caramel                        6.50
Bouteille eau petillante 50cl        1.50
